'Hi I&rsquo;m a Kara enthusiast'
'tik prie knygutes sedet laiko yra'
'ismokyk'
'kaip cia reikia'
'o tai ka moko tada'
'jei svarbiausiu dalyku gyvenime nemoko'
'svietimo reformos reik zodziu'
'tai kaip drugeli reikia'
'gal panasumu kokiu yra'
'mum butina susitikt'
'nes jau taip max gerai uzkalbinau'
'kablelio nereikia, reikia bruksnio'
'matai kaip lietuviu moku'
'mociute kaimynam gyresi'
'3 metus draugavom'
'skanus agurkelis buvo?'
'aciu, kad paguodei'
'ei kaip padaryt toki efekta kad kosmose stovi tipo'
'ar cia tiesiog per fotoshopa save issikirpt ir uzdet nauja layeri po apacia'
'geriau butu buve, jei butu nufotkine tave fotkinant zmogu kuris fotkino kazka'
'supisa nuotrauku kokybe, nes tinderis 💩 kruva'
'kad jau paaiskinau, tai gal busi mano zmona?'
'tai kada tuokiames'
'susirasom arciau datos'
'aliuko'
'tinka'
'tai ka vakare'
'kavos su kaukem'
'tada svetimi ar moterys meluoja geriau sueitu'
'tai ka vakar'
'bet opiume pvz visi laikesi kaukiu, ziauriai keista buvo &colon;D'
'gerai, kad mankstini kakla'
'turiu tokius pat batus'
'mes skirti vienas kitam'
'apsiskaicius flexinime kokia'
'jauciu daug ir su supuvusiais bmw is fish fabrike uzdirbtais'
'nu tos moterys siais laikais'
'kai eini per pakilimo tako pereja, nepamirsk apsidairyt i abi puses'
'saugumas svarbiausia!'
'is kur kelnes pirkai, geros'
'humanos kokios tikejausi'
'abstulbino tiesiog'
'ka pati gyvenime'
'Oxford &colon;D pradedu nuo spalio tiksliau'
'o kurioj istaigoj statusas studentes'
'dar nezinau, tikiuosi tik kad neteks nuo namu sofos mokytis &colon;d'
'bet jei tu Vilniuj buni ir taip tai neprarastum daug gal'
'nieko, senas draugas tiesiog &colon;D'
'kembridzas buvo paskelbes, bet po to apsigalvojo lyg &colon;d mum sake, kad laukia musu campuse spali, bet gali pasikeist dar situacija tipo'
'man irgi nepatiko ziauriai &colon;D as negaliu susikaupt ne paskaitoj'
'5min mokslo ir pusvalandis scrollinimo buna'
'matematika, tikuosi nesimato paziurejus &colon;dd magistras bus, baki university of bristol baigiau jei girdet teko'
'girdejau siaip ir draugu, kad daug kas grupem dirbo per egzaminus ;d tai gal nors islaikyt lengviau buvo'
'o ka siaip be mokslu gyvenime?'
'man mokykloj ziauriai patiko, tai del to nusprendziau, neisivaizduociau nieko kito saves mokantis kazkaip &colon;D'
'kietai, kas per praktika?'
'as irgi panasiai, praktika baigiau, tai 2 men laisves dabar'
'galvojau pakeliaut visai, bet nemanau, kad beiseis &colon;d'
'vava, pliusas, kai tik viena dalyka temoki xd'
'del nebuvimo ka veikt tai panasus jausmas, nors dabar nebedirbu, bet realiai tiek pat nuveikiu per dienas, nes kazkaip maziau produktyviai isnaudoju laika'
'ai as ten finansu imonej tokioj su matke dirbau, tradinimo algoritmus rasiau &colon;D boring zodziu'
'gal laisva ir noretum susitikt siom dienom siaip?'
'as ryt isvarau prie juros irgi, o kita sav kazkada?'
'i Klaipeda pradziai, po to ziuresiu, gal i Nida ta pacia'
'jei pridetum per linkedina, bent nauda butu is musu pazinties &colon;dd'
'xdd ta prasme messengeri naudoju, bet fb viska istryniau &colon;D'
'ar gali but, kad as tave maciau opiume'
'neduoda ramybes klausimas niekaip'
'erelio akis mano'
'bet reikia apsilt kazkur pirma'
'pas mane geriausia'
'2 vieta pagal geruma mieste'
'3 pas tave'
'tau patinka fotoaparatai, puodeliai, knygos, katinu galvos ir pusiau pilnos taures?'
'likimas?'
'oj max gerai, geriau nei bet kada'
'cia kad as parasiau tikriausiai?'
'kodel juokiesi is zydinciu rapsu?'
'jie nenusipelno tavo patyciu'
'linkejimai Vestinai'
'malonu, bet pamelavo tikrai &colon;d'
'ji tokia pat protinga, kiek pamenu 😀'
'nu jei geriausias zmogus pasaulyje, tai nebesigincysiu 😀 bet ir drauges gal jos protingos tada?'
'nu va kaip sutapo, o mes tai klasiokai seniai seniai buvom 😀'
'neapgavo nuojauta tada 🙂'
'deja, bet panevezietis ;d tyciojasi is akcento vilnieciai &colon;&sol;'
'o tai negi negeriau Vilniuj gyvent? Panevezy nera ka veikt apart stovejimo masinu aikstutej uz babilono&sol;prie traukiniu stoties &colon;D'
'as Vilniuj bunu iki spalio aha'
'kokia Panevezio patriote klausyk, tai kodel tada Vilniuj gyvensi? 🙂🙂'
'tada mokslai, nebent nuotoliniu budu padarys, tada metus cia sedet reiks'
'bloga sirdis tavo, kad taip sako &colon;&sol; noriu savo hario poterio experienco universitete'
'kas per praktika? &colon;D sirdis sako, kad nuo sofkutes per zooma teks praktika daryt'
'aciu, kad palaikai mane!!'
'moters nuomone, moteriska intuicija stipresne 🤔 kazkaip itartina'
'tiktu hr skyriuj tau, galetum ignorint aplikantus ir dar pinigus uz tai gautum 🙂 dar apsimest, kad patiko kandidatas, o po to nebeatrasyt'
'dabar mano metas tave palaikyt'
'gausi praktika 100% ir uz bakalaurini gausi 10! tikiu tavim'
'matematika, mokslu motina, tikiuosi nesimato is veido &colon;d O pati ka?'
'reikia reikia moketi, bet svarbiau ne ka moki, o ka pazisti siais laikais'
'ne tas zodis patinka, gaila tik metai liko'
'oj kaip fainiai, tai jau kaip psichologe speju kiaurai matai visus, zinai 3 zinutes i prieki ka parasysiu &colon;&rpar;&rpar;'
'jau yra bakalauras stalciuj &colon;&rpar; magistras bus'
'tai gal nori pamatyti akis i aki tada? &colon;&rpar;&rpar;'
'per daug tikejausi is psichologu tuomet &colon;D oho, tai gal ir mokslu daktare busi po magistro'
'as tai kazkaip nelaukiu, kada baigsiu, nes dirbt reiks pradet &colon;D laisve dabar dar metus'
'gal tai i kuria puse cia daugiau sansu??'
'nu daug jum mokytis ziuriu'
'o kaip cia buna kai zmones viena sako, kita daro?'
'koks cia psichologinis fenomenas, prasau paaiskinti &colon;&rpar;'
'&colon;DD matematikoj paprasciau viskas &colon;&sol;'
'daugiau nesupratau per savaite tindery, nei per 3 metus universitete'
'speju pacios moterys pacios saves nesupranta kartais &colon;d'
'buna pasitaiko ir man sunkumu, tas internetas Vilniuj sunkiai traukia'
'galim kitur sneket jei labai jau sunku prisijungti panelei'
'pavyzdys kiekvienam rytu europieciui'
'iskart ant sirdies pagerejo pasigyrus'
'gal nuolaida kojinem padarysi'
'tai cia ziuriu tavo iq kaip ugis, dvejetainiu kodu prisirasius'
'kur vaziuojam'
'aciu, busi pirmas zmogus, kuriam pasigirsiu siandien'
'Oxforde mokausi!!'
'paminek tu ka mokaisi kad jau bio kodais pasirasius'
'verslo vadyba Utenos kolegijoj &colon;&rpar; iskart matosi'
'ne, Oxfordas tai skaitosi Oxfordo universitetas Oxfordo mieste, Oxfordsyro grafysteje, Anglijoje, Jungtineje Karalysteje'
'zinau, kad geriau, neistojau i Utena tiesiog ;&sol;'
'dar paklausk, ar matematikos mokytoju dirbsiu pabaiges, tai bus isvis'
'taikysiu matematika budamas matematikos mokytoju'
'vaziuosiu i kaimo mokykla dirbt'
'siaip reiks zinok, kariuomenes bijau'
'arba variantas susituokt ir vaiku susilaukt, irgi atleis'
'tai sakai rasytoja busi'
'tik pasitikslinau'
'geras, kokiam kurse&sol;uni?'
'kazkodel pirma mintis buvo Edinburgas, nors nesu buves ten &colon;D'
'ka veiksi su mokslais, investment bankere gal kokia busi? 😀'
'aciu, kad paklausei, vos kentejau siandien niekam nepasigyres'
'i Lietuva grizt galvoji?'
'ai, nuotoliniu budu metai tau bus?'
'man irgi kazkaip patinka ten labai, pripratau prie ju kulturos, tai irgi grizt neplanavau'
'o kuo patiko ten?'
'reiks vandenzenkli uzsidet ant visu nuotrauku, tada tikrai supras'
'kokia nesamone, kad neaiskiai taip 😀 man turetu but vietoj viskas, bet didesnes paskaitos online'
'siaip labai buciau nenorejes visu metu online'
'man patinka, kad draugiski zmones labai ten, nu bent draugiskesni nei cia'
'as tai visai noriu ten but net jei ir online, tik kad nuoma ziauriai brangi'
'kazkaip cia sunku prisiverst mokytis, ne darbo aplinka &colon;D'
'man taip pat buvo irgi 😀 ir kazkaip bent mano mama tai nesupranta, kad daug mokytis reikia ir panasiai, tai kalbina pastoviai, trukdo 😀'
'ai aisku, nu jo siuo metu nekokia perspektyva tokiem darbam &colon;d as per mokslo metus nedirbu, bet kiekviena vasara internshipus darau ir uzsidirbu metam visiem'
'pries pirmus mokslo metus tai fabrike dar buvau &colon;d'
'vava as irgi taip galvoju &colon;d siaip is Panevezio as, bet Vilniuj busiu iki mokslu, nes atsibodo su tevais per daug &colon;d'
'nu jo, cia kitokios algos &colon;d man aisku padeda ir tevai kazkiek, tai ne tik is praktiku gyvenu'
'as dabar praktika darau Londono imonei, bet del karantino padare praktika nuotoliniu budu, tai grizau cia'
'1 savaite liko ir tada laisve'
'man jauciu pasiseke, kad pasirasiau kontrakta pries pandemija dar, tai negalejo atsaukt praktikos'
'kaip ir gerai, bet jei ne virusas, buciau daug prikeliaves per ta laika, o dabar reikes cia sedet &colon;d'
'siaip spalio 12 prasideda, tau kada?'
'nu joo, bet bent vis kazkas &colon;D kur keliavot Lenkijoj?'
'turesi gerokai laiko irgi'
'kul, girdejau geru dalyku apie zakopane &colon;D dar nusimato kelioniu kokiu?'
'as i Stokholma aplankyt draugo noreciau varyt, bet nezinau, ar siuo metu geriausia ideja vaziuot i Svedija 😀'
'o siaip tai vienas pakeliaut visai noreciau, issinuomuociau masina ir vaziuociau po kokia italija'
'kaip Nida? keista, bet neteko but kazkaip &colon;D'
'as apskritai nedaug keliaves gan, dazniausiai tiesiog lankydavau draugus kituose europos universitetuose'
'o dabar realiai paskutinis sansas pakeliaut, nes kita rudeni pradedu dirbt full time, jei viskas pagal plana'
'gal visai variantas, jei vel sienas uzdarys greitu metu 😀 apskritai daug kas sake, kad ten grazu labai'
'toks darbas, koki noreciau dirbt, tik finansu centruose buna, tai europoj Londonas, Amsterdamas ir Zurichas variantai'
'bet labiausiai Londone noreciau kol kas, patiko labai ten'
'o ateity tai ziauriai noreciau niujorke ir hong konge pagyvent bent keleta metu, patinka didmiesciai man &colon;D'
'tu skotijoj pasiliktum?'
'o kodel neprigijo, is Vilniaus tu? kazkaip pastebejau zmones, kurie uzauge dideliuose miestuose, nemegsta mazu miestu, ir atvirksciai &colon;d'
'pritariu del gyvenimo ivairiose vietose, pvz turiu draugu, kurie is Panevezio ir planuoja gyvent Panevezy, man labai keista tai &colon;D kodel turi save ribot ties tokia maza pasaulio dalim'
'nu jo tada suprantu &colon;D ir su darbais gal tokiam mieste sunkiau'
'kaip sekesi skotus suprast siaip? &colon;d man kokiu metu priteike, kol kaimiecius anglus suprast pradejau &colon;d'
'maciau, kad lockdowna grieztesni aberdeene padare vakar'
'siaip keista, kad skotus lengviau suprast, dar negirdejau, kad kas taip sakytu &colon;D bet gerai toki darba padirbt jauciu, pralavina kalbos igudzius labai'
'xddd gal suprato uni, kad per daug pinigu praras, jei nuotoliniu bus mokslai &colon;D'
'nu jo siaip belenkiek ten tu akcentu &colon;D ir vieni anglai kitu net nesupranta kartais'
'bet pas mus siek tiek kitaip, zemaiciu nesupranti, nes jie kitokius zodzius turi, o visas kitas tarmes gali suprasti. Bet anglai is esmes ta pati zodyna naudoja skirtingose tarmese, bet neiseina suprast del tarimo'
'&colon;DDD nu jo, pilnai negali atsikratyt, man kartais irgi buna &colon;D'
'panasiai ir su anglu kalba, atrodo gerai sneki, bet kartais vis tiek rytu europiecio tarimas islenda &colon;d'
'is kur renki'
'panasios muzikos klausom'
'turiu tokius pat batus'
'tai praktiskai tuoktis galim jau'
'3 kartus valio!'
'tai gal spesi kaip nors, is humanos nusipirk'
'kazka radai gero?'
'ar ketvirtadienis gera diena susisaistyti amzinais  santuokos saitais?'
'liuks, as nuo 21h laisvas'
'&colon;&rpar; kelintadienis pagal tavo kalendoriu? &colon;d'
'gerai laika leidi'
'virusa nuvesi!!!'
'sventvagyste butu tikrai'
'kokius 4 teve marija jau reiktu sukalbet, kad pradetum vel gaut'
'man tavo vietoj geda butu'
'nu kaip grazu klausyk'
'pagal garsa gali atskirt salta vandeni nuo karsto'
'tikiuosi nustebinau kaip reikiant'
'kodel stovi vidury lauku tarp aguonu?'
'nezinau, pasiklydai gal'
'skauda keli kai begioju, kas gali but?'
'google nepasitikiu, nes iskart vezi nusistatysiu'
'sakei daug mokaisi, tai galvojau zinosi &colon;&sol;'
'juokauju as, ne toks durnas, kaip atrodau &colon;D'
'bet gal kulturiniai skirtumai cia &colon;d'
';ddd nu tiesa siaip, gal ir vardas padeda'
'siaip nesupratau ar cia komplimenta norejai pasakyt ar izeist &colon;dd tai interpretuosiu i geraja puse'
'parodyk tarakonus'
'jauciu as koks 1000tasis sito paklauses'
'palyginus su sapnais tai nelabai keistas sakyciau &colon;d baisus tik'
'kur pirma nuotrauka daryta??'
'panasiai atrodo'
'irodyk, netikiu'
'nu kas cia per atsikalbinejimai'
'ziurek klausimas vienas, apklausa darau'
'nes as cia matau daug zmoniu ta pati uzsideje ir as tikrai netikiu'
'o tai ka daryt kad protingesnis atrodyciau'
'kaip isvengt kariuomenes saukimo kai jau pabaigi mokslus?'
'ne Lietuvoj gyvenu &colon;&sol;&sol;'
'variantas, 2 metai iki uk pilietybes'
'fainiaii, suspejai kol kaukiu negrazino'
'Vilniuj bunu, kadaise tai is Panevezio &colon;D'
'ai siaip nenoriu su tevais gyvent, tai nuomuojuosi cia, kol mokslu pradzios sulauksiu &colon;D'
'is kur pati siaip?'
'nesu buves Kaune jauciu &colon;dd bet sako, kad kaip didelis Panevezys'
'nu blemba su reikalais nebent buves, bet ne turistiniais tikslais, tai nesiskaito'
'paciai speju Panevezy neteko apsilankyt irgi &colon;d'
'veiki kazka su mokslais?'
'&colon;DD nu blemba as savo noru tai nelankyciau Panevezio manau'
'jei jau rekomenduoji Kauna tai teks, daug laiko iki mokslu turiu &colon;D'
'o ka dabar veiki? ar atostogauji'
'koki ispudi miestas paliko? &colon;d'
'nu joo kaimas realiai &colon;d'
'po 8 valandos vakaro mieste 0 gyvu'
'per miesto svente ar naujus nebent buna va'
'Vilnius geriausia todel, daugiausia veiksmo'
'reikia isbandyt klubus visus iki isvaziavimo'
